TIME	SAP_FLUX
2447.6859807829865	
2447.687369811129	
2447.6887588393015	
2447.690147867474	
2447.6915368956465	6037.868
2447.69292592379	6050.345
2447.6943149519625	6031.631
2447.695703980107	6051.21
2447.697093008279	6030.3135
2447.698482036422	6055.821
2447.699871064566	6033.624
2447.7012600927096	6030.9966
2447.702649120853	6029.354
2447.704038148996	6048.4854
2447.705427177139	6033.564
2447.7068162052833	6041.6455
2447.7082052333976	6028.803
2447.709594261541	6040.8115
2447.7109832896845	6040.5723
2447.712372317799	6003.055
2447.713761345914	6041.9644
2447.715150374028	6019.23
2447.7165394021417	6026.1016
2447.717928430285	6047.6865
2447.7193174583704	6047.997
2447.7207064864847	6021.1616
2447.722095514599	6034.9873
2447.7234845427133	6028.1787
2447.7248735707985	6022.284
2447.7262625989138	6015.361
2447.7276516269985	6036.9517
2447.7290406550837	6013.757
2447.7304296831694	6000.961
2447.7318187112555	6033.0435
2447.73320773934	6055.545
2447.734596767424	6005.2026
2447.7359857955094	6029.0215
2447.7373748235664	6017.278
2447.7387638516516	6026.4
2447.7401528797077	6031.1167
2447.741541907793	6032.105
2447.742930935849	6031.4644
2447.744319963906	6024.9756
2447.7457089919617	6030.132
2447.7470980200173	6024.2666
2447.7484870480735	6037.5264
2447.7498760761296	6005.7393
2447.7512651041566	6044.598
2447.7526541322127	6033.4995
2447.7540431602397	6035.5664
2447.755432188267	6016.8228
2447.7568212162946	6048.536
2447.7582102443507	6048.6133
2447.7595992723486	6040.3555
2447.7609883003756	6033.6123
2447.7623773284035	6055.5405
2447.7637663564296	6040.8438
2447.7651553844266	6036.482
2447.7665444124536	6012.9253
2447.7679334404525	6026.661
2447.7693224684504	6045.426
2447.7707114964483	6038.9585
2447.772100524446	6031.3696
2447.773489552444	6045.932
2447.774878580443	6030.7983
2447.776267608411	6038.043
2447.7776566364087	6036.393
2447.7790456643775	6009.124
2447.7804346923463	6023.557
2447.7818237203437	6030.546
2447.7832127483125	6027.731
2447.7846017762818	6017.258
2447.7859908042224	6030.5073
2447.787379832191	6038.6333
2447.78876886016	6033.839
2447.7901578880997	6046.549
2447.7915469160394	6027.499
2447.792935944009	6032.1494
2447.794324971948	6029.086
2447.7957139998866	6026.6606
2447.7971030278263	6039.3438
2447.798492055738	6004.729
2447.7998810836775	6028.1797
2447.801270111588	6031.64
2447.802659139528	6050.129
2447.8040481674384	6013.681
2447.80543719535	6048.2134
2447.80682622326	6033.53
2447.8082152511706	6029.6567
2447.809604279081	6036.4395
2447.8109933069622	6042.199
2447.812382334873	6031.5254
2447.8137713627543	6016.249
2447.815160390665	6031.3564
2447.8165494185473	6050.041
2447.817938446429	6027.205
2447.8193274743103	6030.621
2447.8207165021627	6028.041
2447.822105530044	6032.3125
2447.8234945579266	6035.2188
2447.824883585778	6032.973
2447.8262726136295	6027.0005
2447.827661641482	6034.371
2447.829050669335	6045.617
2447.830439697187	6032.815
2447.831828725039	6013.222
2447.8332177528923	6030.839
2447.834606780716	6054.8184
2447.835995808569	6036.1104
2447.837384836392	6037.2837
2447.8387738642155	6012.1973
2447.8401628920383	6045.6943
2447.841551919861	6042.194
2447.8429409476553	6025.364
2447.8443299754786	6040.864
2447.845719003302	6033.852
2447.847108031097	6023.883
2447.848497058891	6034.574
2447.8498860866853	6037.325
2447.8512751144794	6043.145
2447.8526641422736	6024.8525
2447.8540531700687	6055.6187
2447.855442197833	6030.6
2447.856831225597	6026.4595
2447.858220253391	6052.4297
2447.859609281157	6013.6323
2447.8609983089223	6071.1606
2447.8623873366873	6047.8804
2447.8637763644233	6023.3896
2447.8651653921893	6041.9214
2447.8665544199544	6044.9653
2447.8679434476903	6019.543
2447.8693324754263	6038.611
2447.870721503162	6030.501
2447.8721105308973	6038.15
2447.8734995586333	6033.211
2447.87488858634	6053.152
2447.876277614076	6024.792
2447.877666641784	6041.762
2447.8790556695194	6050.722
2447.880444697226	6033.969
2447.8818337249336	6039.101
2447.8832227526113	6031.618
2447.884611780319	6026.1543
2447.886000808025	6017.5454
2447.887389835702	6026.3354
2447.8887788633806	6028.5938
2447.8901678910875	6025.7637
2447.891556918765	6049.516
2447.892945946414	6038.467
2447.8943349740916	6025.607
2447.8957240017703	6026.2915
2447.897113029419	6048.248
2447.8985020570676	6023.654
2447.8998910847454	6055.3984
2447.9012801123936	6035.4395
2447.9026691400127	6026.608
2447.9040581676613	6037.712
2447.90544719531	6020.9863
2447.9068362229295	6047.7354
2447.908225250579	6021.594
2447.909614278198	6046.7817
2447.9110033058173	6046.489
2447.9123923334378	6030.192
2447.9137813610287	6034.0923
2447.9151703886487	6047.6465
2447.916559416238	6032.704
2447.917948443857	6050.264
2447.919337471448	6034.7764
2447.9207264990387	6042.119
2447.922115526629	6024.566
2447.9235045542196	6052.5444
2447.924893581781	6042.611
2447.9262826093723	6044.939
2447.927671636933	6020.8657
2447.929060664494	6028.776
2447.9304496920563	6019.267
2447.931838719617	6048.6157
2447.933227747178	6041.442
2447.9346167747103	6017.8247
2447.9360058022717	6043.1255
2447.937394829804	6022.669
2447.938783857337	6066.833
2447.9401728848693	6024.094
2447.9415619124015	6044.7944
2447.942950939934	6052.8423
2447.944339967438	6035.184
2447.94572899497	6030.4644
2447.9471180224723	6053.565
2447.9485070499745	6038.3037
2447.9498960774786	6029.7373
2447.9512851049817	6044.4766
2447.952674132485	6046.941
2447.954063159959	6035.949
2447.955452187462	6056.027
2447.956841214937	6048.5728
2447.9582302424105	6032.318
2447.959619269884	6048.392
2447.961008297359	6063.321
2447.9623973248326	6048.131
2447.963786352277	6048.2085
2447.965175379751	6046.3857
2447.966564407196	6057.7314
2447.967953434642	6031.191
2447.9693424620577	6049.466
2447.9707314895318	6043.244
2447.9721205169476	6006.4663
2447.9735095443634	6021.0635
2447.97489857178	6045.239
2447.9762875992537	6041.147
2447.9776766266687	6041.138
2447.979065654084	6039.857
2447.9804546814426	6025.8345
2447.9818437088584	6039.3286
2447.983232736274	6020.348
2447.98462176369	6021.8716
2447.9860107910476	6035.6113
2447.9873998184644	6030.8403
2447.9887888458215	6046.814
2447.9901778731787	6050.5503
2447.9915669005954	6023.7773
2447.992955927953	6058.3574
2447.9943449553107	6048.6836
2447.995733982668	6056.299
2447.997123010025	6047.3213
2447.9985120373835	6036.7603
2447.999901064741	6032.9146
2448.0012900920406	6019.8027
2448.002679119398	6045.3574
2448.004068146756	6048.2417
2448.005457174056	6050.501
2448.0068462014133	6058.272
2448.008235228712	6017.807
2448.0096242560107	6035.873
2448.0110132833693	6043.5356
2448.0124023106687	5983.7866
2448.013791337968	6035.414
2448.0151803652675	6038.8745
2448.016569392567	6056.8623
2448.017958419809	6031.9985
2448.0193474471084	6052.941
2448.020736474408	6018.022
2448.0221255017073	6028.4604
2448.0235145289485	6047.1865
2448.024903556248	6043.7173
2448.0262925834886	6042.17
2448.0276816107294	6031.2354
2448.0290706379715	6028.539
2448.030459665271	6028.507
2448.031848692512	6057.043
2448.0332377197533	6000.8003
2448.0346267469945	6024.2905
2448.0360157741784	6055.9126
2448.037404801419	6013.353
2448.0387938286594	6012.735
2448.0401828559	6022.1504
2448.041571883084	6029.384
2448.0429609103253	6054.974
2448.0443499375083	6040.25
2448.0457389646913	6008.8154
2448.0471279919334	6042.823
2448.0485170191164	6026.1094
2448.0499060462994	6062.426
2448.0512950734824	6034.637
2448.0526841006654	6031.6865
2448.0540731278484	6030.822
2448.055462154973	6062.9043
2448.0568511821557	6027.9727
2448.0582402093382	6045.969
2448.059629236464	6056.29
2448.061018263647	6043.9175
2448.0624072907717	6046.318
2448.0637963178965	6043.494
2448.0651853450795	6032.614
2448.066574372205	6051.8228
2448.0679633993295	6026.3394
2448.0693524264534	6020.65
2448.0707414535777	6045.3823
2448.0721304807034	6031.1187
2448.073519507771	6028.5664
2448.0749085348953	6028.4404
2448.0762975620196	6023.4453
2448.077686589087	6037.5337
2448.079075616212	6032.54
2448.0804646432784	6059.498
2448.0818536704032	6045.352
2448.08324269747	6062.102
2448.0846317245364	6042.605
2448.086020751603	6013.23
2448.087409778669	6031.6885
2448.088798805735	6049.952
2448.0901878328027	6030.893
2448.0915768598693	6038.604
2448.0929658868777	6037.8887
2448.0943549139442	6027.808
2448.0957439409526	6029.1855
2448.09713296802	6047.137
2448.0985219950285	6046.4233
2448.099911022094	6029.1797
2448.1013000491025	6044.184
2448.102689076111	6056.4243
2448.10407810312	6022.734
2448.105467130128	6051.1284
2448.106856157136	6010.3154
2448.1082451841453	6024.619
2448.1096342111537	6017.3257
2448.111023238104	6016.9956
2448.112412265112	6038.161
2448.1138012921206	6054.4907
2448.1151903190707	6029.8105
2448.11657934602	6052.2324
2448.1179683730284	6023.0703
2448.1193573999785	6000.815
2448.1207464269296	6032.6704
2448.1221354538798	6046.06
2448.12352448083	6017.5093
2448.12491350778	6041.186
2448.126302534731	6050.83
2448.1276915616813	6038.477
2448.1290805885733	6017.8364
2448.1304696155225	6052.406
2448.1318586424727	6045.621
2448.1332476693647	6041.9595
2448.1346366962575	6051.5225
2448.1360257232072	6036.3477
2448.1374147500987	6041.0825
2448.1388037769916	6050.891
2448.1401928038836	6041.252
2448.1415818307755	6019.9385
2448.1429708576675	6040.7393
2448.1443598845594	6039.6714
2448.1457489114514	6045.613
2448.1471379382842	6037.085
2448.148526965176	6037.1543
2448.1499159920686	6029.555
2448.151305018903	6042.0835
2448.1526940457375	6042.812
2448.154083072629	6048.8647
2448.1554720994623	6043.875
2448.156861126297	6044.9707
2448.1582501531307	6041.1562
2448.1596391799644	6035.2896
2448.1610282067973	6040.0083
2448.162417233631	6027.459
2448.1638062604648	6041.9736
2448.165195287241	6034.9966
2448.1665843140745	6041.9165
2448.1679733408496	6019.241
2448.1693623676842	6033.422
2448.17075139446	6036.0835
2448.1721404212935	6044.234
2448.173529448069	6030.853
2448.1749184748446	6039.7417
2448.17630750162	6026.859
2448.1776965283952	6029.1846
2448.1790855551703	6030.889
2448.180474581947	6034.3027
2448.181863608664	6012.114
2448.1832526354406	6050.7266
2448.1846416622157	6027.5405
2448.1860306889325	6027.452
2448.187419715709	6023.278
2448.1888087424263	6041.9316
2448.1901977691437	6034.9243
2448.1915867959183	6053.7827
