2.447685980782986462e+03,nan,nan
2.447687369811128974e+03,nan,nan
2.447688758839301499e+03,nan,nan
2.447690147867474025e+03,nan,nan
2.447691536895646550e+03,6.037868164062500000e+03,1.022319316864013672e+01
2.447692925923789971e+03,6.050345214843750000e+03,1.022155570983886719e+01
2.447694314951962497e+03,6.031630859375000000e+03,1.021783161163330078e+01
2.447695703980106828e+03,6.051209960937500000e+03,1.022491931915283203e+01
2.447697093008278898e+03,6.030313476562500000e+03,1.021234035491943359e+01
2.447698482036421865e+03,6.055820800781250000e+03,1.023358440399169922e+01
2.447699871064566196e+03,6.033624023437500000e+03,1.021112155914306641e+01
2.447701260092709617e+03,6.030996582031250000e+03,1.021438598632812500e+01
2.447702649120853039e+03,6.029354003906250000e+03,1.021540260314941406e+01
2.447704038148996005e+03,6.048485351562500000e+03,1.022766780853271484e+01
2.447705427177138972e+03,6.033563964843750000e+03,1.021915435791015625e+01
2.447706816205283303e+03,6.041645507812500000e+03,1.022051143646240234e+01
2.447708205233397621e+03,6.028803222656250000e+03,1.021229934692382812e+01
2.447709594261541042e+03,6.040811523437500000e+03,1.021488094329833984e+01
2.447710983289684464e+03,6.040572265625000000e+03,1.022515392303466797e+01
2.447712372317798781e+03,6.003055175781250000e+03,1.020160961151123047e+01
2.447713761345914008e+03,6.041964355468750000e+03,1.021997547149658203e+01
2.447715150374027871e+03,6.019229980468750000e+03,1.021443080902099609e+01
2.447716539402141734e+03,6.026101562500000000e+03,1.021837329864501953e+01
2.447717928430285156e+03,6.047686523437500000e+03,1.022529125213623047e+01
2.447719317458370369e+03,6.047997070312500000e+03,1.022027778625488281e+01
2.447720706486484687e+03,6.021161621093750000e+03,1.020988464355468750e+01
2.447722095514599005e+03,6.034987304687500000e+03,1.022450065612792969e+01
2.447723484542713322e+03,6.028178710937500000e+03,1.021597480773925781e+01
2.447724873570798536e+03,6.022284179687500000e+03,1.021769237518310547e+01
2.447726262598913763e+03,6.015360839843750000e+03,1.020887851715087891e+01
2.447727651626998522e+03,6.036951660156250000e+03,1.022396564483642578e+01
2.447729040655083736e+03,6.013756835937500000e+03,1.020798206329345703e+01
2.447730429683169405e+03,6.000960937500000000e+03,1.019856739044189453e+01
2.447731818711255528e+03,6.033043457031250000e+03,1.021479320526123047e+01
