TIME	TIMECORR	CADENCENO	SAP_FLUX	SAP_FLUX_ERR	SAP_BKG	SAP_BKG_ERR	PDCSAP_FLUX	PDCSAP_FLUX_ERR	QUALITY	PSF_CENTR1	PSF_CENTR1_ERR	PSF_CENTR2	PSF_CENTR2_ERR	MOM_CENTR1	MOM_CENTR1_ERR	MOM_CENTR2	MOM_CENTR2_ERR	POS_CORR1	POS_CORR2
2447.7262625989138	0.00046413223	878595	6015.361	10.2088785	1615.6676	3.5779703	6834.7275	11.90073	0					2073.7039460853516	0.0014365468	1621.8639684299299	0.0011267551	-0.044466615	0.018976424
2447.7276516269985	0.00046427207	878596	6036.9517	10.223966	1613.7979	3.578107	6865.5244	11.918319	0					2073.6953397381967	0.0014303069	1621.8630884651188	0.0011268319	-0.055474512	0.016157053
2447.7290406550837	0.00046441192	878597	6013.757	10.207982	1614.8434	3.5761278	6831.011	11.899686	0					2073.7063443127954	0.0014379687	1621.8723999986141	0.0011269867	-0.039517466	0.028738433
2447.7304296831694	0.00046455176	878598	6000.961	10.198567	1614.5361	3.5763183	6851.3667	11.888711	0					2073.7012163357945	0.0014402842	1621.862156009703	0.0011294598	-0.039986886	0.02140018
2447.7318187112555	0.0004646916	878599	6033.0435	10.214793	1613.1321	3.5729587	6859.0303	11.907625	0					2073.6977703011676	0.0014329004	1621.8525132170125	0.0011250182	-0.056125537	0.0069138985
2447.73320773934	0.00046483145	878600	6055.545	10.229089	1610.9926	3.5739179	6871.6055	11.924291	0					2073.698240030027	0.0014295947	1621.8616435007307	0.0011220746	-0.05607898	0.014292587
2447.734596767424	0.0004649713	878601	6005.2026	10.19682	1613.0062	3.5733156	6835.8916	11.886675	0					2073.7075386972747	0.0014372529	1621.8703031440587	0.001128307	-0.037388578	0.02761365
2447.7359857955094	0.00046511114	878602	6029.0215	10.2189245	1617.9065	3.5790203	6849.001	11.912441	0					2073.6955710687903	0.0014326383	1621.84942097308	0.0011281397	-0.05881501	-0.0015217949
2447.7373748235664	0.00046525095	878603	6017.278	10.202612	1611.4567	3.5736668	6843.7437	11.893426	0					2073.7087442361735	0.0014345183	1621.879320609272	0.0011251563	-0.034820884	0.038481377
2447.7387638516516	0.0004653908	878604	6026.4	10.214647	1612.154	3.577264	6849.7534	11.907456	0					2073.6949959095123	0.0014355558	1621.852553316513	0.0011256045	-0.05653959	0.0015909516
2447.7401528797077	0.0004655306	878605	6031.1167	10.214158	1609.1849	3.5751767	6861.364	11.906885	0					2073.6991548300116	0.0014331663	1621.8632177106633	0.0011220836	-0.05165895	0.019639315
2447.741541907793	0.00046567046	878606	6032.105	10.210707	1608.9257	3.572829	6848.4434	11.902863	0					2073.7084911744323	0.0014337023	1621.866795175625	0.0011231232	-0.03905923	0.022176862
2447.742930935849	0.00046581027	878607	6031.4644	10.209051	1602.8505	3.570213	6857.2285	11.900933	0					2073.701617565844	0.0014320115	1621.8627523137704	0.0011230065	-0.049269076	0.01873275
2447.744319963906	0.00046595008	878608	6024.9756	10.208948	1613.262	3.5740168	6848.2363	11.900812	0					2073.7011808024167	0.0014338258	1621.8635612845344	0.0011249004	-0.04708943	0.018782603
2447.7457089919617	0.0004660899	878609	6030.132	10.21499	1613.8472	3.5764213	6851.9053	11.907855	0					2073.701147235344	0.0014332053	1621.8623832570938	0.0011234652	-0.04963638	0.015876237
2447.7470980200173	0.0004662297	878610	6024.2666	10.209336	1610.9807	3.5740993	6848.9043	11.901264	0					2073.7010818230106	0.0014316029	1621.8658261292546	0.0011251303	-0.051054213	0.019224009
2447.7484870480735	0.00046636953	878611	6037.5264	10.222976	1614.0696	3.5838037	6864.0264	11.917165	0					2073.696993359444	0.0014327657	1621.8571277778474	0.0011250433	-0.053710036	0.010106612
2447.7498760761296	0.00046650934	878612	6005.7393	10.200504	1611.3619	3.57901	6856.317	11.890969	0					2073.6998978773768	0.001438235	1621.8632458275526	0.0011290832	-0.04526403	0.019249303
2447.7512651041566	0.00046664913	878613	6044.598	10.219176	1609.3673	3.5741768	6870.9116	11.912736	0					2073.6983845476016	0.0014284316	1621.8584142682216	0.0011223501	-0.056671295	0.010206482
2447.7526541322127	0.00046678894	878614	6033.4995	10.214234	1609.2223	3.577179	6858.416	11.906974	0					2073.700641903862	0.0014320211	1621.8617062748388	0.0011239597	-0.047718357	0.016198924
2447.7540431602397	0.00046692873	878615	6035.5664	10.214439	1611.0907	3.5744364	6854.084	11.907214	0					2073.6982097701493	0.0014304533	1621.8645748317235	0.001122811	-0.052475218	0.018097129
2447.755432188267	0.00046706852	878616	6016.8228	10.203474	1611.2761	3.571704	6834.023	11.89443	0					2073.706767960385	0.001431992	1621.8647300840591	0.0011252582	-0.047675025	0.018246453
2447.7568212162946	0.0004672083	878617	6048.536	10.21959	1609.9829	3.5727925	6872.1313	11.913218	0					2073.6996022727	0.0014310469	1621.8616444169359	0.0011218237	-0.052709244	0.014369147
2447.7582102443507	0.00046734812	878618	6048.6133	10.214771	1605.342	3.5683496	6871.4595	11.9076	0					2073.704771666226	0.0014290839	1621.8648509850223	0.0011208293	-0.046448424	0.019629331
2447.7595992723486	0.00046748787	878619	6040.3555	10.219003	1611.3134	3.5773861	6861.5986	11.912534	0					2073.695876862377	0.0014306891	1621.8569572705248	0.0011249002	-0.05475237	0.008298297
2447.7609883003756	0.00046762766	878620	6033.6123	10.216325	1608.4688	3.5689883	6853.7983	11.909411	0					2073.70229855056	0.001432656	1621.8631832839212	0.0011238942	-0.046438716	0.017472696
2447.7623773284035	0.00046776744	878621	6055.5405	10.222699	1608.4263	3.5707667	6881.085	11.916843	0					2073.700977462434	0.0014278237	1621.8603086920152	0.001121822	-0.052152533	0.014114409
2447.7637663564296	0.00046790723	878622	6040.8438	10.212905	1603.2332	3.5697103	6866.891	11.905425	0					2073.7013747582037	0.0014310112	1621.8645542423662	0.0011231577	-0.048276126	0.020513592
2447.7651553844266	0.000468047	878623	6036.482	10.215886	1615.3262	3.57279	6864.243	11.9089	0					2073.701887391124	0.001430567	1621.861406459168	0.0011239066	-0.04856688	0.014842609
2447.7665444124536	0.00046818677	878624	6012.9253	10.20498	1609.2357	3.5738027	6837.0107	11.896186	0					2073.7056194188226	0.0014341301	1621.866634887565	0.0011255712	-0.04966848	0.022673314
2447.7679334404525	0.00046832653	878625	6026.661	10.211966	1612.5757	3.5785675	6853.2705	11.90433	0					2073.699453605268	0.001433654	1621.863963063633	0.0011251332	-0.04979623	0.016419675
2447.7693224684504	0.00046846629	878626	6045.426	10.214193	1605.2668	3.566327	6872.59	11.906926	0					2073.7022997458025	0.0014309004	1621.8624469243348	0.0011218461	-0.047863945	0.017312665
